Type,Indicator,Threat Actor,Source
Domain,indiauc[.]com/myf/test.php,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
URL,hxxps://drive.google.com/uc?export=download&id=1SaBv9C5EJlXKCQQ_8Tlkl1cBJ9-9XN8u,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
URL,hxxps://drive.google.com/uc?export=download&id=140KPyaNuYZgOhP3Q7sTQPZ6a-q6x5j-h,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
Domain,ncloudup[.]com,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,gcloudsvc[.]com,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,nic-updates[.]in ,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,kavachmail-govin[.]rf[.]gd,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,kavach-app[.]com ,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,kavachguide[.]com,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,kavach-app[.]in,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,get-kavach[.]in,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,getkavach[.]com ,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,kavachsupport[.]com ,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,kavachdownload[.]in,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,kavachauthentication.blogspot[.]com,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,139.59.79[.]86 139.59.79[.]86/song.mp3,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,139.59.79[.]86/OneDriveHandler45_bf.zip,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,139.59.79[.]86/OneDriveHandler45.zip,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,139.59.79[.]86/C2L!Dem0&PeN/A@llPack3Ts/Cert.php ,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,wzxdao[.]com,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,wzxdao[.]com/onedrivehandlerx86.zip,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,wzxdao[.]com/OnrDriveHandlerx86.zip,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,hxxp://139.59.23[.]88/confirmation_id.pdf,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,hxxps://ncloudup[.]com/trendmic/details.pdf,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,hxxp://wzxdao[.]com/resultupdate.jpg,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Domain,http://139.59.79[.]86/Pictures.jpg,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
MD5,123b180ed44531bfbac27c6eb0bbe01d,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
MD5,3817590cf8bec4a768bb84405590272f,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
MD5,0ed6451ffe34217e44355706f4900ecc,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
MD5,94daa776792429d1cb65edc1d525e2fc,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
MD5,c195d6bb06c93b94d39e5c1a2dfc6792,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
MD5,889c5c98e88c4889220617f57f5480f7,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
MD5,ac3f2c8563846134bb42cb050813eac8,APT 36,https://www.zscaler.com/blogs/security-research/apt-36-uses-new-ttps-and-new-tools-target-indian-governmental-organizations
Sha256 ,bc1acdca196f1ff72722243be2afe1429b88122afb9d4852d6d6e57689411d3d ,SideCopy,https://cyble.com/blog/the-overlapping-cyber-strategies-of-transparent-tribe-and-sidecopy-against-india/
Sha256 ,81038a217237afd16d80da7fc9219cbd145f9698bb512e2b625559a47ba73fec,SideCopy,https://cyble.com/blog/the-overlapping-cyber-strategies-of-transparent-tribe-and-sidecopy-against-india/
Sha256 ,37f20f232aa86316901baccbb44af1668b1d868c1ca9aba8fcb36584352b3e0f,SideCopy,https://cyble.com/blog/the-overlapping-cyber-strategies-of-transparent-tribe-and-sidecopy-against-india/
Sha256 ,93fb036e65c0683af5ffb98e2b61e30499dec068a4e15bf3bec8066d3e246852 ,SideCopy,https://cyble.com/blog/the-overlapping-cyber-strategies-of-transparent-tribe-and-sidecopy-against-india/
Sha256 ,902e087711ab8e612bd7cea9864bbadbe20a3500ba57f26f6eeb0b5b20b803ec ,SideCopy,https://cyble.com/blog/the-overlapping-cyber-strategies-of-transparent-tribe-and-sidecopy-against-india/
Domain ,reviewassignment[.]online reviewassignment[.]in ,SideCopy,https://cyble.com/blog/the-overlapping-cyber-strategies-of-transparent-tribe-and-sidecopy-against-india/
URL ,hxxps://reviewassignment[.]online/files/documents/bs/economy/1.hta,SideCopy,https://cyble.com/blog/the-overlapping-cyber-strategies-of-transparent-tribe-and-sidecopy-against-india/
URL ,hxxps://reviewassignment[.]online/files/documents/bs/it/1.hta ,SideCopy,https://cyble.com/blog/the-overlapping-cyber-strategies-of-transparent-tribe-and-sidecopy-against-india/
URL ,hxxps://reviewassignment[.]online/files/documents/bs/survey/1.hta,SideCopy,https://cyble.com/blog/the-overlapping-cyber-strategies-of-transparent-tribe-and-sidecopy-against-india/
IP ,67.223.118[.]135 ,SideCopy,https://cyble.com/blog/the-overlapping-cyber-strategies-of-transparent-tribe-and-sidecopy-against-india/
IP ,64.188.27[.]144 ,SideCopy,https://cyble.com/blog/the-overlapping-cyber-strategies-of-transparent-tribe-and-sidecopy-against-india/
URL ,hxxps://reviewassignment[.]online/files/backup/ap.txt ,SideCopy,https://cyble.com/blog/the-overlapping-cyber-strategies-of-transparent-tribe-and-sidecopy-against-india/
URL ,hxxp://dns1[.]indianblog[.]xyz/dailyworkout ,SideCopy,https://cyble.com/blog/the-overlapping-cyber-strategies-of-transparent-tribe-and-sidecopy-against-india/
Sha256 ,8e9bcc00fc32ddc612bdc0f1465fc79b40fc9e2df1003d452885e7e10feab1ee,HeavyLift,https://blog.talosintelligence.com/cosmic-leopard/
Sha256 ,ceb7b757b89693373ffa1c46dd96544bdc25d1a47608c2ea24578294bcf1db37 ,HeavyLift,https://blog.talosintelligence.com/cosmic-leopard/
Sha256 ,06b617aa8c38f916de8553ff6f572dcaa96e5c8941063c55b6c424289038c3a1 ,HeavyLift,https://blog.talosintelligence.com/cosmic-leopard/
Sha256 ,da3907cf75662c3401581a5140831f8b2520a4c3645257b3860c7db94295af88 ,HeavyLift,https://blog.talosintelligence.com/cosmic-leopard/
Sha256 ,838fd5d269fa09ef4f7e9f586b6577a9f46123a0af551de02de78501d916236d ,HeavyLift,https://blog.talosintelligence.com/cosmic-leopard/
Sha256 ,12d98137cd1b0cf59ce2fafbfe3a9c3477a42dae840909adad5d4d9f05dd8ede ,HeavyLift,https://blog.talosintelligence.com/cosmic-leopard/
Sha256 ,688c8e4522061bb9d82e4c3584f7ef8afc6f9e07e2374567755faad2a22e25b8 ,HeavyLift,https://blog.talosintelligence.com/cosmic-leopard/
Sha256 ,5695c1e5e4b381844a36d8281126eef73a9641a315f3fdd2eb475c9073c5f4da ,HeavyLift,https://blog.talosintelligence.com/cosmic-leopard/
Sha256 ,8d458fb59b6da20e1ba1658bb4a1f7dbb46d894530878e91b64d3c675d3d4516,HeavyLift,https://blog.talosintelligence.com/cosmic-leopard/
Sha256 ,36851d1da9b2f35da92d70d4c88ea1675f1059d68fafd3abb1099e075512b45e ,GravityRAT Android,https://blog.talosintelligence.com/cosmic-leopard/
Sha256 ,4ebdfa738ef74945f6165e337050889dfa0aad61115b738672bbeda648a59dab ,GravityRAT Android,https://blog.talosintelligence.com/cosmic-leopard/
Sha256 ,1382997d3a5bb9bdbb9d41bb84c916784591c7cdae68305c3177f327d8a63b71 ,GravityRAT Android,https://blog.talosintelligence.com/cosmic-leopard/
Sha256 ,c00cedd6579e01187cd256736b8a506c168c6770776475e8327631df2181fae2 ,GravityRAT Android,https://blog.talosintelligence.com/cosmic-leopard/
Sha256 ,380df073825aca1e2fdbea379431c2f4571a8c7d9369e207a31d2479fbc7be88,GravityRAT Android,https://blog.talosintelligence.com/cosmic-leopard/
Sha256 ,63a76ca25a5e1e1cf6f0ca8d32ce14980736195e4e2990682b3294b125d241cf ,GravityAdmin ,https://blog.talosintelligence.com/cosmic-leopard/
Sha256 ,69414a0ca1de6b2ab7b504a507d35c859fc5a1b8e0b3cf0c6a8948b2f652cbe9 ,GravityAdmin ,https://blog.talosintelligence.com/cosmic-leopard/
Sha256 ,04e216f4780b6292ccc836fa0481607c62abb244f6a2eedc21c4a822bcf6d79f,GravityAdmin ,https://blog.talosintelligence.com/cosmic-leopard/
Domain,androidmetricsasia[.]com ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
Domain,dl01[.]mozillasecurity[.]com ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
Domain,officelibraries[.]com ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
Domain,javacdnlib[.]com ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
Domain,windowsupdatecloud[.]com ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
Domain,webbucket[.]co[.]uk ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
Domain,craftwithme[.]uk ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
Domain,sexyber[.]net ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
Domain,rockamore[.]co[.]uk ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
Domain,androidsdkstream[.]com ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
Domain,playstoreapi[.]net ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
Domain,sdklibraries[.]com ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
Domain,cvscout[.]uk ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
Domain,zclouddrive[.]com ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
Domain,jdklibraries[.]com ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
Domain,cloudieapp[.]net ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
Domain,androidadbserver[.]com ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
Domain,androidwebkit[.]com ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
Domain,teraspace[.]co[.]in,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]zclouddrive[.]com/downloads/CloudDrive_Setup_1[.]0[.]1[.]exe ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]www[.]sexyber[.]net/downloads/7ddf32e17a6ac5ce04a8ecbf782ca509/Sexyber-1[.]0[.]0[.]zip ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]sexyber[.]net/downloads/7ddf32e17a6ac5ce04a8ecbf782ca509/Sexyber-1[.]0[.]0[.]zip ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]cloudieapp[.]net/cloudie[.]zip ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]sni1[.]androidmetricsasia[.]com/voilet/8a99d28c[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]dev[.]androidadbserver[.]com/jurassic/6c67d428[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]adb[.]androidadbserver[.]com/jurassic/6c67d428[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]library[.]androidwebkit[.]com/kangaroo/8a99d28c[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]ux[.]androidwebkit[.]com/kangaroo/8a99d28c[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]jupiter[.]playstoreapi[.]net/indigo/8a99d28c[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]moon[.]playstoreapi[.]net/indigo/8a99d28c[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]jre[.]jdklibraries[.]com/hotriculture/671e00eb[.]php  ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]cloudinfinity-d4049-default-rtdb[.]firebaseio[.]com/ ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]dl01[.]mozillasecurity[.]com/ ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]dl01[.]mozillasecurity[.]com/Sier/resauth[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]dl01[.]mozillasecurity[.]com/resauth[.]php/ ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]tl37[.]officelibraries[.]com/Sier/resauth[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]tl37[.]officelibraries[.]com/resauth[.]php/ ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]jun[.]javacdnlib[.]com/Quebec/5be977ac[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]dl01[.]mozillasecurity[.]com/MicrosoftUpdates/6efbb147[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]tl37[.]officelibraries[.]com/MicrosoftUpdates/741bbfe6[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]tl37[.]officelibraries[.]com/MsWordUpdates/c47d1870[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]dl01[.]windowsupdatecloud[.]com/opex/7ab24931[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]tl37[.]officelibraries[.]com/opex/13942BA7[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxp[://]dl01[.]windowsupdatecloud[.]com/opex/7ab24931[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]download[.]rockamore[.]co[.]uk/m2c/m_client[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]api1[.]androidsdkstream[.]com/foxtrot/ ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]api1[.]androidsdkstream[.]com/foxtrot/61c10953[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]jupiter[.]playstoreapi[.]net/RB/e7a18a38[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]sdk2[.]sdklibraries[.]com/golf/c6cf642b[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]jre[.]jdklibraries[.]com/hotriculture/671e00eb[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps://hxxp[://]api1[.]androidsdkstream[.]com/foxtrot//DataX/ ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]download[.]cvscout[.]uk/cvscout/cvstyler_client[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]download[.]webbucket[.]co[.]uk/webbucket/strong_client[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]www[.]craftwithme[.]uk/cwmb/craftwithme/strong_client[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]download[.]sexyber[.]net/sexyber/sexyberC[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]download[.]webbucket[.]co[.]uk/A0B74607[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]zclouddrive[.]com/system/546F9A[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]download[.]cvscout[.]uk/cvscout/ ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]download[.]cvscout[.]uk/c9a5e83c[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]zclouddrive[.]com/system/clouddrive/ ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]download[.]sexyber[.]net/0fb1e3a0[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]www[.]craftwithme[.]uk/cwmb/d26873c6[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]download[.]teraspace[.]co[.]in/teraspace/ ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]download[.]teraspace[.]co[.]in/78181D14[.]php ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]www[.]craftwithme[.]uk/cwmb/craftwithme/ ,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
URL ,hxxps[://]download[.]webbucket[.]co[.]uk/webbucket/,Cosmic Leopard,https://blog.talosintelligence.com/cosmic-leopard/
Sha256 ,4e4967e3d39256049bc1054b966e5c609245fd3b2a934fda5cd1885526d8221e,Gorgon Group,https://unit42.paloaltonetworks.com/unit42-gorgon-group-slithering-nation-state-cybercrime/
Sha256 ,d2f58b08f8abfe5055f3c1f0b8d991dfe1deb62807a5336b134ce2fb36d87284,Gorgon Group,https://unit42.paloaltonetworks.com/unit42-gorgon-group-slithering-nation-state-cybercrime/
Sha256 ,db4d8d931f1b979cf32d311f9b03e851d3283b4f7e86252730247da25cf9f093,Gorgon Group,https://unit42.paloaltonetworks.com/unit42-gorgon-group-slithering-nation-state-cybercrime/
Sha256 ,4c6e3d8fdb2394edffe4a5bc45a238749e929301efa8bcfa3a247b1ab68eac54,Gorgon Group,https://unit42.paloaltonetworks.com/unit42-gorgon-group-slithering-nation-state-cybercrime/
Sha256 ,81de431987304676134138705fc1c21188ad7f27edf6b77a6551aa693194485e,Gorgon Group,https://unit42.paloaltonetworks.com/unit42-gorgon-group-slithering-nation-state-cybercrime/
Sha256 ,26151f1e24bc97532e49013fbe04919de1f51e346dba1f10ce2e389160f2fb9d,Gorgon Group,https://unit42.paloaltonetworks.com/unit42-gorgon-group-slithering-nation-state-cybercrime/
Sha256 ,a100ce0a67c5890bcc38d2b6e30f9164dfe266126ec40a2fd7eb8e941dc7d025,Gorgon Group,https://unit42.paloaltonetworks.com/unit42-gorgon-group-slithering-nation-state-cybercrime/
Sha256 ,806098afc2148dabb838b24c4dfaa148269ac3ddf769aee54e75d46bfef0c506,Gorgon Group,https://unit42.paloaltonetworks.com/unit42-gorgon-group-slithering-nation-state-cybercrime/
Sha256 ,bf37d6cb393b440f790ad2b333624fde079e10bfaeb44d65188e3ccc551c982f,Gorgon Group,https://unit42.paloaltonetworks.com/unit42-gorgon-group-slithering-nation-state-cybercrime/
URL,stemtopx[.]com/work/1.doc,Gorgon Group,https://unit42.paloaltonetworks.com/unit42-gorgon-group-slithering-nation-state-cybercrime/
URL,stemtopx[.]com/work/3.exe,Gorgon Group,https://unit42.paloaltonetworks.com/unit42-gorgon-group-slithering-nation-state-cybercrime/
URL,stemtopx[.]com/work/2.exe,Gorgon Group,https://unit42.paloaltonetworks.com/unit42-gorgon-group-slithering-nation-state-cybercrime/
URL,stemtopx[.]com/work/1.exe,Gorgon Group,https://unit42.paloaltonetworks.com/unit42-gorgon-group-slithering-nation-state-cybercrime/
URL,stemtopx[.]com/work/new/20.exe,Gorgon Group,https://unit42.paloaltonetworks.com/unit42-gorgon-group-slithering-nation-state-cybercrime/
URL,stemtopx[.]com/work/new/3.exe,Gorgon Group,https://unit42.paloaltonetworks.com/unit42-gorgon-group-slithering-nation-state-cybercrime/
URL,stemtopx[.]com/work/new/2.exe,Gorgon Group,https://unit42.paloaltonetworks.com/unit42-gorgon-group-slithering-nation-state-cybercrime/
URL,stemtopx[.]com/work/doc/20.doc,Gorgon Group,https://unit42.paloaltonetworks.com/unit42-gorgon-group-slithering-nation-state-cybercrime/
URL,stemtopx[.]com/work/k/1.docx,Gorgon Group,https://unit42.paloaltonetworks.com/unit42-gorgon-group-slithering-nation-state-cybercrime/
URL,stemtopx[.]com/work/k/1s.exe,Gorgon Group,https://unit42.paloaltonetworks.com/unit42-gorgon-group-slithering-nation-state-cybercrime/
Domain,Postindia[.]site,APT 36,https://www.seqrite.com/blog/advisory-pahalgam-attack-themed-decoys-used-by-apt36-to-target-the-indian-government/
